# SHOT START
# legend_version=3
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_timeout
24540,0.041,0.040,9.000,0.402,9.000,0.402,12.929,5.70,0.2062,0.084,0.000,20.62,5.70,14.92,1,0,0.00000,20.62,20.62,0.00,0,0,20.62,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,51.58,48.13,3.45,0.227,1.125,0.106,0.973,0.000,0.000,38.163,5.70,6,-0.3000,0,0.00,0.00,0.00,0.00,0.000,0.00,0,0,0,0,0,1
24679,0.044,0.043,9.000,2.989,9.000,2.989,29.429,22.80,0.4543,0.770,0.000,45.43,22.80,22.63,1,0,0.00000,45.43,45.43,0.00,0,0,42.59,0.00,2.85,8.50,0.79,1.000,1.126,2.85,1,60.00,1,62.54,57.54,5.00,0.227,1.107,0.950,3.882,-0.187,-0.024,306.191,22.80,23,-0.0000,7582,3956.74,3757.97,0.00,0.00,0.000,3956.74,0,1,14,189,0,0
24817,0.049,0.049,9.000,5.076,9.000,5.076,20.109,39.90,0.6560,1.986,0.000,65.60,39.90,25.70,1,0,0.00000,65.60,65.60,0.00,0,0,60.17,0.00,5.43,8.50,1.00,1.000,1.160,5.43,1,60.00,1,71.94,66.94,5.00,0.217,1.012,2.394,6.776,-0.174,-0.044,392.632,39.90,40,-0.4000,6357,4719.21,4089.02,0.00,0.00,0.000,4719.21,0,1,29,313,0,0
24954,0.070,0.064,9.000,6.447,9.000,6.447,13.113,57.00,0.7852,3.604,0.000,78.52,57.00,21.52,1,0,0.00000,78.52,78.52,0.00,0,0,71.68,0.00,6.84,8.50,1.00,1.000,1.160,6.84,1,60.00,1,81.35,76.35,5.00,0.212,0.906,4.255,9.608,-0.148,-0.059,449.283,57.00,57,-0.5000,6646,4513.99,4000.78,0.00,0.00,0.000,4513.99,0,1,44,580,0,0
25091,0.304,0.213,9.000,7.339,9.000,7.339,8.532,74.10,0.8634,5.515,0.000,86.34,74.10,12.24,1,0,0.00000,86.34,86.34,0.00,0,0,78.75,0.00,7.60,8.50,0.98,1.000,1.157,7.60,0,255.00,1,90.75,85.75,5.00,0.345,0.960,6.255,11.407,-0.035,-0.063,473.447,74.10,74,-0.3000,7250,4137.93,3667.31,3317.44,3243.72,0.978,3317.44,0,2,59,852,0,0
25224,5.897,4.454,9.000,7.919,9.000,7.919,5.551,73.11,0.7240,6.754,0.000,72.40,73.11,-0.71,0,1,-0.25053,72.40,72.40,0.00,0,0,64.39,0.00,8.01,8.50,0.65,1.000,1.104,8.01,0,255.00,1,90.21,85.21,5.00,4.653,5.581,5.091,0.000,1.383,0.080,94.259,73.11,73,0.3680,7296,4111.84,3496.58,3317.44,3243.72,0.978,3317.44,0,2,74,1158,0,0
25361,7.044,6.737,9.000,8.297,9.000,8.297,3.611,50.16,0.4966,6.472,0.000,49.66,50.16,-0.50,0,1,-0.42749,49.66,49.66,0.00,0,0,41.43,0.00,8.23,8.50,0.34,1.000,1.054,8.23,0,255.00,1,77.59,72.59,5.00,6.891,7.613,3.600,0.000,0.178,0.080,24.689,50.16,50,-0.2050,6832,4391.10,3431.43,3317.44,3243.72,0.978,3317.44,0,2,89,1742,0,0
25493,4.168,4.981,9.000,8.543,9.000,8.543,2.349,67.26,0.7694,6.456,0.000,76.94,67.26,9.68,1,0,-0.42749,76.94,76.94,0.00,0,0,70.66,0.00,6.27,2.68,0.16,1.000,1.026,6.27,0,255.00,1,80.82,75.82,5.00,5.091,5.611,2.656,1.015,-1.031,-0.026,95.508,67.26,67,0.4721,6751,4443.79,3391.09,3312.13,4710.58,1.422,3312.13,0,2,104,2052,0,0
25593,4.729,4.635,9.000,8.657,9.000,8.657,1.764,78.66,0.7996,6.849,0.000,79.96,78.66,1.30,1,0,-0.42749,79.96,79.96,0.00,0,0,75.29,0.00,4.67,1.20,0.10,1.000,1.015,4.67,0,255.00,1,87.67,82.67,5.00,4.732,5.182,3.444,6.544,0.007,-0.047,120.143,78.66,79,0.0901,6941,4322.14,3362.66,3312.13,4710.58,1.422,3312.13,0,2,115,2258,0,0
25726,6.984,6.315,9.000,8.777,9.000,8.777,1.147,66.00,0.6558,6.990,0.000,65.58,66.00,-0.42,0,1,-0.70436,65.58,65.58,0.00,0,0,62.80,0.00,2.77,0.35,0.04,1.000,1.007,2.77,0,255.00,1,70.56,65.56,5.00,6.421,6.922,2.690,0.000,0.634,0.019,38.448,66.00,66,0.0190,7166,4186.44,3325.85,3312.13,4710.58,1.422,3312.13,0,2,129,2617,0,0
